"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","molecular transducer activity","GO:0060089","false","1.8186550975853255e-24","23.740249655756816","2053","1050","221","20246","TNFRSF4,TNFRSF9,GPR157,TNFRSF8,PTAFR,PTPRU,HCRTR1,EPHA10,LPAR3,S1PR1,SEMA4A,AIM2,SLAMF1,CD48,FCGR2A,FCGR2B,CD247,CR2,CHRM3,ADGRF3,CRIM1,BMP10,ANTXR1,TGFA,SEMA4C,IL1A,IL1B,IL36G,MARCO,NR4A2,ACVR1C,LY75,IFIH1,ITGAV,CALCRL,CCL20,DNER,ACKR3,PLXNB1,MST1R,SEMA3B,WNT5A,ROBO1,CD80,CD86,AGTR1,TNFSF10,CXCL8,CXCL1,PPBP,CXCL5,CXCL3,CXCL2,EREG,CXCL10,CXCL11,CXCL13,UNC5C,IL15,TLR2,GUCY1A1,GUCY1B1,RXFP1,TLR3,PRLR,IL7R,LIFR,OSMR,PTGER4,IL31RA,EFNA5,TSLP,SEMA6A,CXCL14,NRG2,CD14,PDGFRB,IL12B,HRH2,BMP6,EDN1,PRL,TREML2,TREML4,TREM1,VEGFA,EPHA7,ROS1,GPR31,AHR,IL6,GPR141,INHBA,SEMA3A,NAMPT,MET,SMO,PLXNA4,PDGFRL,NKX3-1,CLU,NRG1,CHRNA6,IL7,LY6E,CD274,RIGI,CCL19,NPR2,RORB,SEMA4D,ROR2,NR4A3,GRIN3A,IL15RA,IL2RA,FAS,SEMA4G,ADRB1,OR52H1,TRIM5,ADM,CD44,MDK,LRP4,CDC42EP2,CLCF1,P2RY6,LRRC32,IL18,IL10RA,CXCR5,WNT5B,LAG3,GPR162,CLEC6A,CLEC4D,CLEC4E,CD69,ACVRL1,GPR84,IL23A,CMKLR1,HCAR2,HCAR3,FLT3,KL,CYSLTR2,TNFSF13B,PTGDR,PTGER2,GPR132,DLL4,NEO1,ANPEP,SEMA4B,IL32,OR1F1,IL27,NOD2,CCL17,ADGRG5,IL17C,GP1BA,CCL2,CCL7,CCL8,CCL13,CCL1,CCL5,CCL23,CSF3,CCR7,CNTNAP1,RAMP2,FZD2,NGFR,SSTR2,CD7,SECTM1,EBI3,TNFSF9,CD70,ADGRE1,RETN,ICAM1,PGLYRP2,INSL3,IL12RB1,FFAR3,GPR42,FFAR2,NECTIN2,PTGIR,GRIN2D,FPR1,FPR2,LILRA5,LILRB4,BMP2,PROCR,LBP,CD40,ADORA2A,OSM,CSF2RB,PDGFB,TYMP,TLR8,ADGRG2,NDP,TIMP1,CXCR3,LPAR4,P2RY10,GPR174,GUCY2F,FGF13,NLGN4Y,CCL3L1,CCL4L1"
"GO:MF","signaling receptor activity","GO:0038023","true","1.8186550975853255e-24","23.740249655756816","2053","1050","221","20246","TNFRSF4,TNFRSF9,GPR157,TNFRSF8,PTAFR,PTPRU,HCRTR1,EPHA10,LPAR3,S1PR1,SEMA4A,AIM2,SLAMF1,CD48,FCGR2A,FCGR2B,CD247,CR2,CHRM3,ADGRF3,CRIM1,BMP10,ANTXR1,TGFA,SEMA4C,IL1A,IL1B,IL36G,MARCO,NR4A2,ACVR1C,LY75,IFIH1,ITGAV,CALCRL,CCL20,DNER,ACKR3,PLXNB1,MST1R,SEMA3B,WNT5A,ROBO1,CD80,CD86,AGTR1,TNFSF10,CXCL8,CXCL1,PPBP,CXCL5,CXCL3,CXCL2,EREG,CXCL10,CXCL11,CXCL13,UNC5C,IL15,TLR2,GUCY1A1,GUCY1B1,RXFP1,TLR3,PRLR,IL7R,LIFR,OSMR,PTGER4,IL31RA,EFNA5,TSLP,SEMA6A,CXCL14,NRG2,CD14,PDGFRB,IL12B,HRH2,BMP6,EDN1,PRL,TREML2,TREML4,TREM1,VEGFA,EPHA7,ROS1,GPR31,AHR,IL6,GPR141,INHBA,SEMA3A,NAMPT,MET,SMO,PLXNA4,PDGFRL,NKX3-1,CLU,NRG1,CHRNA6,IL7,LY6E,CD274,RIGI,CCL19,NPR2,RORB,SEMA4D,ROR2,NR4A3,GRIN3A,IL15RA,IL2RA,FAS,SEMA4G,ADRB1,OR52H1,TRIM5,ADM,CD44,MDK,LRP4,CDC42EP2,CLCF1,P2RY6,LRRC32,IL18,IL10RA,CXCR5,WNT5B,LAG3,GPR162,CLEC6A,CLEC4D,CLEC4E,CD69,ACVRL1,GPR84,IL23A,CMKLR1,HCAR2,HCAR3,FLT3,KL,CYSLTR2,TNFSF13B,PTGDR,PTGER2,GPR132,DLL4,NEO1,ANPEP,SEMA4B,IL32,OR1F1,IL27,NOD2,CCL17,ADGRG5,IL17C,GP1BA,CCL2,CCL7,CCL8,CCL13,CCL1,CCL5,CCL23,CSF3,CCR7,CNTNAP1,RAMP2,FZD2,NGFR,SSTR2,CD7,SECTM1,EBI3,TNFSF9,CD70,ADGRE1,RETN,ICAM1,PGLYRP2,INSL3,IL12RB1,FFAR3,GPR42,FFAR2,NECTIN2,PTGIR,GRIN2D,FPR1,FPR2,LILRA5,LILRB4,BMP2,PROCR,LBP,CD40,ADORA2A,OSM,CSF2RB,PDGFB,TYMP,TLR8,ADGRG2,NDP,TIMP1,CXCR3,LPAR4,P2RY10,GPR174,GUCY2F,FGF13,NLGN4Y,CCL3L1,CCL4L1"
"GO:MF","cytokine activity","GO:0005125","false","1.3564402652592138e-18","17.867599326885443","238","1050","55","20246","BMP10,IL1A,IL1B,IL36G,CCL20,WNT5A,TNFSF10,CXCL8,CXCL1,PPBP,CXCL5,CXCL3,CXCL2,CXCL10,CXCL11,CXCL13,IL15,TSLP,CXCL14,IL12B,BMP6,EDN1,VEGFA,IL6,INHBA,NAMPT,NRG1,IL7,CCL19,CLCF1,IL18,WNT5B,IL23A,TNFSF13B,IL32,IL27,CCL17,IL17C,CCL2,CCL7,CCL8,CCL13,CCL1,CCL5,CCL23,CSF3,SECTM1,EBI3,TNFSF9,BMP2,OSM,NDP,TIMP1,CCL3L1,CCL4L1"
"GO:MF","signaling receptor binding","GO:0005102","false","1.8228598008781686e-18","17.739246732357863","1521","1050","167","20246","ISG15,PDPN,S1PR1,ITGA10,S100A9,S100A12,S100A8,SEMA4A,CD48,CR2,TRAF5,BMP10,TGFA,SEMA4C,IL1A,IL1B,IL36G,MARCO,FAP,ITGAV,STAT1,CFLAR,ADAM23,CCL20,DNER,PLXNB1,SEMA3B,WNT5A,PROK2,CD80,CD86,PLSCR4,PLSCR1,AGTR1,TNFSF10,STAP1,CXCL8,CXCL1,PPBP,CXCL5,CXCL3,CXCL2,EREG,CXCL10,CXCL11,CXCL13,IL15,TLR2,LIFR,OSMR,ITGA1,ARRDC3,EFNA5,TSLP,SEMA6A,CXCL14,NRG2,PDGFRB,CAMK2A,IL12B,BMP6,EDN1,PRL,BTN2A2,BTN3A3,HLA-A,TAP1,DLK2,VEGFA,EPHA7,ITGB8,IL6,INHBA,SEMA3A,ELAPOR2,PILRA,NAMPT,SMO,CLU,NRG1,PLAT,LYN,IL7,RIPK2,CTHRC1,JAK2,CD274,DNAJA1,CCL19,GNA14,SEMA4D,TRAF1,SEMA4G,ADRB1,RIC3,ADM,MDK,LRP4,MS4A1,CDC42EP2,CLCF1,LRRC32,IL18,WNT5B,LAG3,CLEC4D,RND1,IL23A,SOCS2,KL,TNFSF13B,RPGRIP1,MMP14,SIPA1L1,AMN,THBS1,DLL4,NEO1,ARNT2,SEMA4B,IL32,SOCS1,IL27,TGFB1I1,CCL17,CDH5,IL17C,VTN,CCL2,CCL7,CCL8,CCL13,CCL1,CCL5,CCL23,CSF3,IGFBP4,NXPH3,RNF43,SECTM1,PTPN2,LAMA3,CD226,EBI3,LRG1,TNFSF9,CD70,RETN,ICAM1,INSL3,JAK3,IL12RB1,FPR1,FPR2,BMP2,HCK,LBP,ADORA2A,OSM,PDGFB,TYMP,NDP,TIMP1,FGF13,NLGN4Y,CCL3L1,CCL4L1"
"GO:MF","receptor ligand activity","GO:0048018","false","3.1645455250358503e-18","17.499688652200007","539","1050","86","20246","SEMA4A,CD48,BMP10,TGFA,SEMA4C,IL1A,IL1B,IL36G,CCL20,SEMA3B,WNT5A,CD80,CD86,TNFSF10,CXCL8,CXCL1,PPBP,CXCL5,CXCL3,CXCL2,EREG,CXCL10,CXCL11,CXCL13,IL15,EFNA5,TSLP,SEMA6A,CXCL14,NRG2,IL12B,BMP6,EDN1,PRL,VEGFA,EPHA7,IL6,INHBA,SEMA3A,NAMPT,CLU,NRG1,IL7,CD274,CCL19,SEMA4D,SEMA4G,ADM,MDK,CDC42EP2,CLCF1,LRRC32,IL18,WNT5B,IL23A,KL,TNFSF13B,DLL4,SEMA4B,IL32,IL27,CCL17,IL17C,CCL2,CCL7,CCL8,CCL13,CCL1,CCL5,CCL23,CSF3,SECTM1,EBI3,TNFSF9,CD70,RETN,INSL3,BMP2,OSM,PDGFB,TYMP,NDP,TIMP1,FGF13,CCL3L1,CCL4L1"
"GO:MF","signaling receptor activator activity","GO:0030546","false","7.490304147287351e-18","17.125500547212848","546","1050","86","20246","SEMA4A,CD48,BMP10,TGFA,SEMA4C,IL1A,IL1B,IL36G,CCL20,SEMA3B,WNT5A,CD80,CD86,TNFSF10,CXCL8,CXCL1,PPBP,CXCL5,CXCL3,CXCL2,EREG,CXCL10,CXCL11,CXCL13,IL15,EFNA5,TSLP,SEMA6A,CXCL14,NRG2,IL12B,BMP6,EDN1,PRL,VEGFA,EPHA7,IL6,INHBA,SEMA3A,NAMPT,CLU,NRG1,IL7,CD274,CCL19,SEMA4D,SEMA4G,ADM,MDK,CDC42EP2,CLCF1,LRRC32,IL18,WNT5B,IL23A,KL,TNFSF13B,DLL4,SEMA4B,IL32,IL27,CCL17,IL17C,CCL2,CCL7,CCL8,CCL13,CCL1,CCL5,CCL23,CSF3,SECTM1,EBI3,TNFSF9,CD70,RETN,INSL3,BMP2,OSM,PDGFB,TYMP,NDP,TIMP1,FGF13,CCL3L1,CCL4L1"
"GO:MF","protein binding","GO:0005515","false","7.499896280536413e-18","17.124944742621924","15123","1050","904","20246","PLEKHN1,HES4,ISG15,TNFRSF4,TNFRSF9,FBXO6,TNFRSF8,LRRC38,PDPN,C1QA,C1QB,IFI6,PTAFR,PTPRU,NKAIN1,HCRTR1,CCDC28B,MARCKSL1,TMEM54,RNF19B,AZIN2,ZC3H12A,EPHA10,SMAP2,RIMKLA,FOXD3,PDE4B,SGIP1,GADD45A,NEXN,IFI44,LPAR3,MCOLN2,GBP3,GBP1,GBP2,GBP7,GBP4,GBP5,GBP6,SNX7,S1PR1,MOV10,SRGAP2B,ITGA10,PDE4DIP,NOTCH2NLC,H2BC21,CGN,S100A9,S100A12,S100A8,MUC1,SYT11,SEMA4A,ETV3L,ETV3,AIM2,IGSF9,KCNJ10,SLAMF1,CD48,SLAMF7,FCGR2A,HSPA6,FCGR2B,OLFML2B,CD247,RCSD1,TBX19,BLZF1,IER5,PTGS2,RGS2,TNNT2,LAD1,NAV1,PPFIA4,LAX1,TMCC2,SLC26A9,CD55,CR2,CR1L,LAMB3,G0S2,HSD11B1,IRF6,TRAF5,BATF3,PROX1,ENAH,ERO1B,EDARADD,CHRM3,MAP1LC3C,NLRP3,RSAD2,TRIB2,CYRIA,KCNS3,DRC1,FOSL2,CRIM1,EIF2AK2,PLEKHH2,FOXN2,PNPT1,BMP10,ANTXR1,MXD1,TGFA,PAIP2B,WDR54,TRABD2A,VAMP5,ATOH8,SEMA4C,BCL2L11,IL1A,IL1B,IL36G,FOXD4L1,INSIG2,MARCO,C1QL2,MYO7B,KYNU,RND3,NMI,TNFAIP6,NR4A2,ERMN,CYTIP,ACVR1C,FAP,IFIH1,LRP2,ITGAV,CALCRL,STAT1,STAT4,AOX1,CFLAR,CASP10,ADAM23,VIL1,CCL20,DNER,SP110,SP140,NGEF,ACKR3,IRAK2,TRANK1,VILL,CSRNP1,PLXNB1,MST1R,SEMA3B,LSMEM2,ITIH1,ITIH4,WNT5A,ERC2,HESX1,PROK2,ROBO1,FILIP1L,NFKBIZ,NECTIN3,CD200,CD80,CFAP91,FSTL1,ILDR1,CD86,CSTA,PARP9,DTX3L,PARP15,PARP14,AMOTL2,XRN1,SLC9A9,PLSCR4,PLSCR2,PLSCR1,AGTR1,CP,PFN2,SIAH2,TNIK,FNDC3B,TNFSF10,MAP3K13,MB21D2,HES1,RUBCN,CD38,LAP3,NWD2,RHOH,SHISA3,CEP135,CRACD,STAP1,CXCL8,CXCL1,PPBP,CXCL5,CXCL3,CXCL2,EREG,CXCL10,CXCL11,SHROOM3,CXCL13,FRAS1,ANXA3,PRDM8,PPM1K,HERC5,UNC5C,DAPP1,NFKB1,SYNPO2,TNIP3,SLC7A11,TBC1D9,RNF150,IL15,TLR2,RNF175,GUCY1A1,GUCY1B1,RXFP1,DDX60,TLR3,ANKRD33B,MYO10,BASP1,PDZD2,PRLR,IL7R,LIFR,OSMR,PTGER4,ITGA1,CCNO,PLPP1,IL31RA,ELOVL7,TMEM171,VCAN,ARRDC3,EFNA5,TSLP,SEMA6A,TNFAIP8,GRAMD2B,MARCHF3,SLC22A4,IRF1,JADE2,CXCL14,NRG2,CD14,PDGFRB,CAMK2A,SYNPO,TNIP1,CCDC69,ADAM19,EBF1,IL12B,SH3PXD2B,DUSP1,CREBRF,N4BP3,GFPT2,IRF4,SERPINB9,SLC22A23,BMP6,TFAP2A,MAK,EDN1,MYLIP,GMPR,RNF144B,PRL,RIPOR2,BTN2A2,BTN3A3,NKAPL,HLA-A,TAP1,ITPR3,ARMC12,ETV7,CMTR1,MDGA1,TREML2,TREM1,DLK2,GTPBP2,RSPH9,VEGFA,NFKBIE,RUNX2,LRRC1,CGAS,PNRC1,SRSF12,EPHA7,PRDM1,MARCKS,CALHM6,CALHM5,ROS1,SMPDL3A,KIAA0408,MOXD1,EYA4,TNFAIP3,HIVEP2,STX11,PLEKHG1,TIAM2,DYNLT1,SOD2,WTAP,GPR31,THBS2,AHR,TWIST1,ITGB8,STEAP1B,IL6,IGF2BP3,NFE2L3,SNX10,TRIL,NT5C3A,AOAH,GPR141,NME8,AMPH,INHBA,HECW1,BLVRA,ZMIZ2,MYO1G,NACAD,ZNF107,STX1A,NCF1,RHBDD2,DTX2,SEMA3A,ELAPOR2,SAMD9,SAMD9L,PILRA,ACHE,MUC17,NAMPT,LAMB1,NRCAM,ZNF277,MET,AASS,GARIN1A,TSPAN33,SMO,PLXNA4,TMEM139,TCAF2,EZH2,LRRC61,NUB1,WDR86,SLC18A1,PPP3CC,SLC25A37,NKX3-1,PNMA2,CLU,DUSP4,NRG1,PLAT,CHRNA6,LYN,FAM110B,BHLHE22,CYP7B1,PREX2,SLCO5A1,MSC,TRPA1,IL7,HEY1,TPD52,ZBTB10,RIPK2,NBN,OSR2,BAALC,CTHRC1,ZHX2,KCNQ3,TMEM71,DENND3,LY6E,PARP10,GRINA,GLIS3,JAK2,CD274,PDCD1LG2,RIGI,DNAJA1,B4GALT1,CHMP5,CCL19,NPR2,PAX5,FAM95C,RORB,GNA14,TLE4,SEMA4D,NFIL3,ROR2,NINJ1,WNK2,TDRD7,TMOD1,NR4A3,GRIN3A,FSD1L,TXN,KIAA1958,SLC31A2,TMEM268,TRAF1,STOM,LHX6,MVB12B,PKN3,PTGES,TOR1B,ASS1,NTNG2,AK8,SLC2A6,AKR1C1,IL15RA,IL2RA,PFKFB3,OPTN,MAP3K8,NCOA4,ARID5B,MYPN,SRGN,PRF1,DDIT4,ANKRD22,FAS,CH25H,IFIT2,IFIT3,IFIT1B,IFIT1,IFIT5,ANKRD1,PDLIM1,ABCC2,SEMA4G,ELOVL3,NFKB2,DUSP5,CASP7,ADRB1,BNIP3,CYP2E1,IFITM1,IFITM3,ANO9,ASCL2,CDKN1C,TRIM5,TRIM6,TRIM34,TRIM22,RIC3,DENND5A,ADM,AMPD3,SAA2,HPS5,PRRG4,ABTB2,EHF,PDHX,CD44,SLC1A2,CD82,MDK,LRP4,UBE2L6,SERPING1,MS4A1,TMEM132A,PLAAT4,PLAAT2,PLAAT3,CDC42BPG,EHD1,BATF2,CDC42EP2,RELA,CLCF1,P2RY6,FAM168A,LRRC32,RAB30,PIWIL4,SESN3,BIRC3,CASP5,CASP1,CARD16,EXPH5,PIH1D2,IL18,SIK3,DSCAML1,TMPRSS13,IL10RA,TTC36,TMEM25,CXCR5,BCL9L,ETS1,SLC6A13,WNT5B,AKAP3,PLEKHG6,LAG3,GPR162,C1S,CD163,CLEC6A,CLEC4D,CLEC4E,CD69,OLR1,CDKN1B,PDE6H,SOX5,BMAL2,LRRK2,CCDC184,CACNB3,RND1,RHEBL1,ACVRL1,TAMALIN,KRT7,GPR84,PPP1R1A,MUCL1,IL23A,STAT2,RDH16,MYO1A,DTX3,AVIL,SLC35E3,KCNMB4,BTG1,SOCS2,DRAM1,SLC41A2,ABTB3,CMKLR1,TRAFD1,OAS1,OAS3,OAS2,OASL,HPD,GJB2,FLT3,BRCA2,KL,EPSTI1,CYSLTR2,PHF11,KCNRG,FAM124A,DACH1,ACOD1,SLITRK5,GPC5,TNFSF13B,RPGRIP1,MMP14,REM2,MYH7,PSME2,CBLN3,COCH,NFKBIA,MIPOL1,NID2,PTGDR,GCH1,SIX1,HIF1A,PLEKHG3,TMEM229B,ARG2,SLC8A3,SIPA1L1,BATF,RPS6KA5,SERPINA1,WARS1,AMN,EXOC3L4,TNFAIP2,ATP10A,TJP1,OTUD7A,RASGRP1,THBS1,DLL4,ITPKA,JMJD7,SPTBN5,TRIM69,SCG3,LYSMD2,MYO5C,CGNL1,DAPK2,LARP6,LRRC49,THAP10,NEO1,PML,ISL2,CRABP1,ARNT2,ABHD17C,CEMIP,CFAP161,RHCG,ANPEP,SEMA4B,SLCO3A1,MMP25,IL32,MEFV,RBFOX1,SOCS1,MYH11,IL27,TGFB1I1,N4BP1,NKD1,NOD2,MT2A,MT1E,MT1M,MT1A,MT1F,MT1G,MT1H,MT1X,NLRC5,PLLP,CCL17,SPMIP8,CDH5,RRAD,EXOC3L1,CTRL,DNAAF1,IL17C,SLC43A2,HIC1,GP1BA,XAF1,FBXO39,NTN1,KSR1,VTN,CCL2,CCL7,CCL8,CCL13,CCL1,RFFL,SLFN12,CCL5,CCL23,MLLT6,CSF3,GJD3,IGFBP4,CCR7,JUP,CNP,DHX58,CNTNAP1,RAMP2,IFI35,RUNDC3A,FZD2,IGF2BP1,NGFR,NXPH3,SAMD14,MYCBPAP,C17ORF67,RNF43,YPEL2,BRIP1,RGS9,SLC16A6,FAM20A,SSTR2,CD300E,SOCS3,LGALS3BP,C1QTNF1,CD7,SECTM1,EPB41L3,PTPN2,LAMA3,ZNF521,MEP1B,PSTPIP2,ARK2C,TCF4,PMAIP1,SERPINB4,CD226,GADD45B,EBI3,LRG1,TNFSF9,CD70,TRIP10,SH2D3A,RETN,ANGPTL4,SHFL,ICAM1,CDKN2D,ODAD3,NFIX,CACNA1A,CLEC17A,PGLYRP2,HSH2D,ANKLE1,PLVAP,BST2,UNC13A,INSL3,JAK3,KCNN1,IL12RB1,GRAMD1A,SCN1B,HPN,FFAR3,GPR42,FFAR2,SBSN,SPRED3,NCCRP1,CEACAM3,CEACAM1,CEACAM19,BCL3,NECTIN2,RELB,SIX5,GNG8,PRKD2,MEIS3,SLC8A2,GRIN2D,PLEKHA4,IL4I1,ATF5,NKG7,C19ORF84,SIGLEC10,SPACA6,HAS1,FPR1,FPR2,LILRB4,TGM3,EBF4,SIGLEC1,BMP2,PLCB4,CCM2L,HCK,TSPY26P,PLAGL2,NOL4L,MAP1LC3A,TP53INP2,PROCR,LBP,PPP1R16B,PKIG,ADA,SEMG2,SLPI,CD40,SNAI1,DOK5,TFAP2C,ZBP1,PMEPA1,HELZ2,SAMD10,SAMSN1,BTG3,C21ORF91,NCAM2,OLIG2,OLIG1,ETS2,MX2,MX1,ABCG1,PDE9A,USP18,CCDC116,ADORA2A,UPB1,ASPHD2,MN1,KREMEN1,OSM,SELENOM,LIMK2,APOL6,APOL3,APOL1,CSF2RB,H1-0,GTPBP1,APOBEC3A,APOBEC3F,APOBEC3G,APOBEC3H,PDGFB,CACNA1I,SHISAL1,MAPK11,SCO2,TYMP,CIMAP1B,KLHDC7B,MAPK8IP2,TLR8,SAT1,GK,TMEM47,MAOA,MAOB,NDP,EFHC2,JADE3,SYN1,TIMP1,CFP,CXCR3,HDX,GUCY2F,KCNE5,SMARCA1,STK26,FRMD7,PABIR3,FGF13,MCF2,NLGN4Y,CCL3L1,CCL4L1"
"GO:MF","signaling receptor regulator activity","GO:0030545","false","4.594536835096671e-17","16.337758262319245","583","1050","88","20246","SEMA4A,CD48,BMP10,TGFA,SEMA4C,IL1A,IL1B,IL36G,CCL20,SEMA3B,WNT5A,CD80,CD86,TNFSF10,CXCL8,CXCL1,PPBP,CXCL5,CXCL3,CXCL2,EREG,CXCL10,CXCL11,CXCL13,IL15,EFNA5,TSLP,SEMA6A,CXCL14,NRG2,IL12B,BMP6,EDN1,PRL,VEGFA,EPHA7,IL6,INHBA,SEMA3A,NAMPT,CLU,NRG1,IL7,LY6E,CD274,CCL19,SEMA4D,SEMA4G,ADM,MDK,CDC42EP2,CLCF1,LRRC32,IL18,WNT5B,IL23A,KL,TNFSF13B,DLL4,SEMA4B,IL32,IL27,CCL17,IL17C,CCL2,CCL7,CCL8,CCL13,CCL1,CCL5,CCL23,CSF3,SECTM1,EBI3,TNFSF9,CD70,RETN,INSL3,LILRB4,BMP2,OSM,PDGFB,TYMP,NDP,TIMP1,FGF13,CCL3L1,CCL4L1"
"GO:MF","cytokine receptor binding","GO:0005126","false","1.1385540581514718e-16","15.943646344408053","278","1050","57","20246","TRAF5,IL1A,IL1B,IL36G,STAT1,CFLAR,CCL20,TNFSF10,STAP1,CXCL8,CXCL1,PPBP,CXCL5,CXCL3,CXCL2,CXCL10,CXCL11,CXCL13,IL15,LIFR,OSMR,EFNA5,TSLP,CXCL14,IL12B,PRL,VEGFA,IL6,IL7,JAK2,CCL19,TRAF1,CLCF1,IL18,IL23A,SOCS2,TNFSF13B,IL27,CCL17,CDH5,CCL2,CCL7,CCL8,CCL13,CCL1,CCL5,CCL23,CSF3,EBI3,LRG1,TNFSF9,CD70,JAK3,IL12RB1,OSM,CCL3L1,CCL4L1"
"GO:MF","molecular function regulator activity","GO:0098772","false","4.246890153145878e-13","12.371928971997207","2195","1050","199","20246","LRRC38,AZIN2,SMAP2,PDE4B,GBP1,GBP2,GBP5,SEMA4A,AIM2,CD48,RGS2,NLRP3,TRIB2,KCNS3,CRIM1,EIF2AK2,BMP10,TGFA,SEMA4C,IL1A,IL1B,IL36G,CFLAR,VIL1,CCL20,NGEF,PLXNB1,SEMA3B,ITIH1,ITIH4,WNT5A,CD80,CD86,CSTA,PARP9,DTX3L,TNFSF10,KCNMB3,MCF2L2,MAP3K13,RUBCN,RHOH,STAP1,CXCL8,CXCL1,PPBP,CXCL5,CXCL3,CXCL2,EREG,CXCL10,CXCL11,CCNG2,CXCL13,ANXA3,TBC1D9,IL15,ACSL1,CCNO,VCAN,EFNA5,TSLP,SEMA6A,TNFAIP8,CXCL14,NRG2,PDGFRB,IL12B,SH3PXD2B,SERPINB9,BMP6,EDN1,PRL,VEGFA,RCAN2,EPHA7,PLEKHG1,TIAM2,COL28A1,IL6,INHBA,STX1A,NCF1,SEMA3A,TFPI2,NAMPT,MET,SMO,NKX3-1,CLU,NRG1,LYN,PREX2,IL7,NBN,DENND3,LY6E,CD274,DNAJA1,CCL19,SEMA4D,STOM,SEMA4G,ANO9,CDKN1C,DENND5A,ADM,MDK,SERPING1,CDC42EP2,CLCF1,LRRC32,BIRC3,CASP1,CARD16,ARHGAP20,IL18,WNT5B,PLEKHG6,CDKN1B,PDE6H,LRRK2,CACNB3,PPP1R1A,IL23A,KCNMB4,SOCS2,FLT3,KL,TNFSF13B,REM2,PSME2,NFKBIA,HIF1A,PLEKHG3,SIPA1L1,SERPINA1,WARS1,RASGRP1,THBS1,DLL4,SEMA4B,IL32,SOCS1,IL27,NOD2,NLRC5,CCL17,RRAD,IL17C,CCL2,CCL7,CCL8,CCL13,CCL1,CCL5,CCL23,CSF3,RAPGEFL1,RUNDC3A,RGS9,FAM20A,SOCS3,SECTM1,SERPINB4,SERPINB7,SERPINB2,HMSD,EBI3,TNFSF9,CD70,SH2D3A,RETN,ANGPTL4,CDKN2D,SYDE1,BST2,INSL3,SCN1B,PTGIR,LILRB4,BMP2,PPP1R16B,PKIG,PI3,SLPI,OSM,LIMK2,PDGFB,TYMP,NDP,TIMP1,KCNE5,FRMD7,PABIR3,FGF13,MCF2,CCL3L1,CCL4L1"
